Time [s], Filename
22.5582, outdoor/snapshot_168.png
22.6943, outdoor/snapshot_169.png
22.8263, outdoor/snapshot_170.png
22.9589, outdoor/snapshot_171.png
23.0939, outdoor/snapshot_172.png
23.2263, outdoor/snapshot_173.png
23.3585, outdoor/snapshot_174.png
23.4942, outdoor/snapshot_175.png
23.6276, outdoor/snapshot_176.png
23.7581, outdoor/snapshot_177.png
23.8939, outdoor/snapshot_178.png
24.0269, outdoor/snapshot_179.png
24.1583, outdoor/snapshot_180.png
24.2907, outdoor/snapshot_181.png
24.4308, outdoor/snapshot_182.png
24.558, outdoor/snapshot_183.png
24.6908, outdoor/snapshot_184.png
24.831, outdoor/snapshot_185.png
24.9583, outdoor/snapshot_186.png
25.0908, outdoor/snapshot_187.png
25.2307, outdoor/snapshot_188.png
25.3587, outdoor/snapshot_189.png
25.4904, outdoor/snapshot_190.png
25.631, outdoor/snapshot_191.png
25.7598, outdoor/snapshot_192.png
25.8945, outdoor/snapshot_193.png
26.0309, outdoor/snapshot_194.png
26.1585, outdoor/snapshot_195.png
26.294, outdoor/snapshot_196.png
26.4302, outdoor/snapshot_197.png
26.5624, outdoor/snapshot_198.png
26.6941, outdoor/snapshot_199.png
26.8308, outdoor/snapshot_200.png
26.9663, outdoor/snapshot_201.png
27.0942, outdoor/snapshot_202.png
27.2273, outdoor/snapshot_203.png
27.3667, outdoor/snapshot_204.png
27.4958, outdoor/snapshot_205.png
27.6304, outdoor/snapshot_206.png
27.7655, outdoor/snapshot_207.png
27.8944, outdoor/snapshot_208.png
28.0264, outdoor/snapshot_209.png
28.1667, outdoor/snapshot_210.png
28.2942, outdoor/snapshot_211.png
28.4309, outdoor/snapshot_212.png
28.5674, outdoor/snapshot_213.png
28.6952, outdoor/snapshot_214.png
28.8301, outdoor/snapshot_215.png
28.9669, outdoor/snapshot_216.png
29.0949, outdoor/snapshot_217.png
29.2301, outdoor/snapshot_218.png
29.3665, outdoor/snapshot_219.png
29.4992, outdoor/snapshot_220.png
29.6316, outdoor/snapshot_221.png
29.7674, outdoor/snapshot_222.png
29.8995, outdoor/snapshot_223.png
30.0307, outdoor/snapshot_224.png
30.1669, outdoor/snapshot_225.png
30.2984, outdoor/snapshot_226.png
30.4303, outdoor/snapshot_227.png
30.5712, outdoor/snapshot_228.png
30.698, outdoor/snapshot_229.png
30.8302, outdoor/snapshot_230.png
30.9658, outdoor/snapshot_231.png
31.0994, outdoor/snapshot_232.png
31.2303, outdoor/snapshot_233.png
31.3701, outdoor/snapshot_234.png
31.4994, outdoor/snapshot_235.png
31.6355, outdoor/snapshot_236.png
31.771, outdoor/snapshot_237.png
31.9223, outdoor/snapshot_238.png
32.0301, outdoor/snapshot_239.png
32.1953, outdoor/snapshot_240.png
32.3034, outdoor/snapshot_241.png
32.4344, outdoor/snapshot_242.png
32.5671, outdoor/snapshot_243.png
32.7033, outdoor/snapshot_244.png
32.8347, outdoor/snapshot_245.png
32.9676, outdoor/snapshot_246.png
33.1025, outdoor/snapshot_247.png
33.2344, outdoor/snapshot_248.png
